gene,PacBio,TAGET
ITGB5,4.00770736754569,2.49209596344053
PITX2,4.00036781770704,2.80510693769714
CMTR1,55.468303589638,51.2701418588582
PRRT3,8.53841300043456,5.75828828770249
SQOR,8.7495886416302,8.08739880567649
GOT1,16.3357048236694,14.9146356778766
NCAPG2,28.4802275209499,32.1498123607176
LGALS9,4.42444736246241,4.24754755288343
NOL4,4.29630912469951,3.03867195753422
JAG1,7.85708278337869,4.02143946551483
KIF15,15.1703848071435,11.7263261508868
TLK1,13.3760726144759,5.32009982047376
TMEM181,26.149767426784,18.3225729413965
GFPT2,4.07129648340411,2.87640739802801
NLRC5,8.32739145645847,9.13835212643411
TRPM4,3.95988756098883,3.4529358498529
ADAM9,72.7361408890532,59.3625442579159
SMOX,3.99438457485701,3.18738303654307
FBXW7,8.29387310531649,7.63233127515157
TBC1D20,41.3316630712439,30.8684691165929
PTPN14,10.9742664109713,6.17206452053741
FKBP5,23.4586745805396,19.1352367645141
KIAA0895,3.90119147835617,3.20332309965154
EFNB3,3.98459850840548,2.96748574024429
DIP2C,3.95499452776306,1.83443941028574
MAGEE1,3.90608451158194,3.29643036272459
ARHGAP19,14.3078348926978,10.0896151900819
TRIB1,39.8897031153773,35.4754805312114
DGKD,19.3748832242279,13.8579595045251
UBAC2,10.5436151687405,8.76325266797805
ZFP28,4.23650845522628,3.09630469432679
VAV1,4.20456711591492,3.57001250671413
TGIF1,6.12033106348843,4.06709498252587
BICD2,21.1786804428307,14.0739034653046
OCRL,11.1087918631346,7.37219141460838
TNFSF10,4.41097050039399,3.68715373682709
RBMS1,3.88297565244173,3.35383251057332
AKIRIN1,126.730169942373,109.99145959545
PDE12,63.0527905447714,47.7646068741089
SPN,4.18724952005453,3.62055202960406
HMGN4,25.7345210996458,24.5489389265085
MARCKSL1,31.9272464063603,32.2535973697253
UQCRC2,45.2453237031119,44.4092269692618
IDI1,90.9258140128395,83.7431922912987
ATF3,8.67246501891602,8.46197125465118
ASB13,3.78379931309086,2.91799224355596
ARHGDIB,4.11458614438788,4.00655879726579
LAG3,4.11458614438788,4.12039974906591
GAPDH,52.9574675406747,49.3136925607219
JUN,33.9858938284128,28.081654043401
MBTPS1,45.3741174920242,41.5081953538344
DCK,75.3967354291187,65.6847568123115
SEMA6A,31.2244770329208,28.4137761634918
CNR2,4.08209519034652,2.78225255653164
WSB2,12.3357456298011,9.91567810633614
HEXA,33.3440751412775,29.5308001899969
PCDHB10,3.80201513900531,3.29643036272459
SCAMP2,18.0735311374835,15.2454230807354
PXYLP1,5.78199967479417,3.63960959488669
STK10,31.3277084190466,22.7489682048073
ADA,8.36315877295205,7.08651572652803
SLC10A7,9.39690943038949,8.00156963718564
CCDC117,57.9266703788448,46.5318453528515
MAP1LC3B,70.0788405476162,59.7401828261535
RB1,90.3879448560615,72.8571770875144
HADHA,187.58140827367,166.450407696685
PPP2CA,134.90222740138,120.46646702459
DNA2,9.34416393290928,8.04330632760557
RNF43,4.14915679496366,3.36235826830666
SLC41A1,12.1571370253092,9.41617862411963
PPTC7,26.4438324269231,19.2326782365578
CDCP1,4.08593592413848,2.82736800774118
B3GALNT1,3.982607172833,2.0689770939092
ITPK1,15.0108794246741,11.7916268951937
IQGAP2,6.49210615799215,3.36023447493912
CUX1,16.8403200330209,13.2863840154003
DMD,6.35377539488743,6.02442080349448
RAB8A,61.9356825174743,54.8509238796897
ANKH,7.40489595565626,4.01639429485493
FGD4,5.76580801507518,4.0396674443332
PIK3R5,8.0181497516395,5.7664643291944
DYNC1H1,24.8243772479616,17.3181594543267
LIF,5.77070104830095,4.63800285980062
GRAP,7.62044481860311,6.84250879847298
MATN2,3.633266440946,2.81696991443773
INTS6,12.7066141438444,7.23754398557877
MEST,6.92403143325479,5.66027652198844
DR1,53.9925997511476,44.3633992826392
TUBA4A,6.15857555250738,6.3673910944361
RSAD2,12.5815651944184,10.1110986283349
CD151,3.56967732508757,3.94809725455764
STAM,26.3317961665291,22.7141541483699
CYSLTR1,3.86404052220156,2.50403113004148
DHTKD1,16.1416853698529,15.0365942220576
DSC2,3.9367684390132,2.5197775449005
MOSPD1,13.7926091471792,13.9120242082727
TCTN1,11.9744748359335,11.180933785109
GOLGA8B,14.617568481277,9.49219068892149
PTGS1,4.17591689566552,3.13527424005594
PRPSAP2,19.2651090064015,24.1409754414223
EPSTI1,7.41496322631307,5.14067895445898
VANGL1,14.2699699047077,10.3382871860525
ZADH2,13.2511795232461,9.31542186563965
MAT2A,127.95706129584,192.474349026917
NDRG1,8.34451599476502,6.16326927550704
MAGEA11,3.58055360116337,2.48418731228014
UNC45A,32.6748623548691,26.7622509273829
SLC38A5,3.86788125599352,3.47584978703405
MAP3K5,6.05196246447529,3.55610777934722
ZBED1,31.0679921124597,23.4136031010127
JAK3,6.09610470218254,3.54032770088954
LEO1,21.6416544748341,18.4274400570829
ITGA10,3.52185751853071,2.86454442128742
CEP152,12.29391460543,9.00096046191472
